SYMBOL,gain
EXCEL,228775.7544034607
VISESHINFO,130728.5781191686
SANWARIA,122013.27083333333
EXCEL,115988.87131849123
ANTGRAPHIC,114387.37720173036
VIKASPROP,107658.64771552233
EXCEL,103846.12735880722
GAYAHWS,96326.0571297979
IF2GP,91509.703125
BALLARPUR,79573.52610626482
MERCATOR,79573.52610626482
VIVIDHA,73207.5625
GTLINFRA,70391.8511396867
BKMINDST,70391.8511396867
ROLLT,67784.7048213799
RADAAN,67784.7048213799
VISESHINFO,66278.9285840976
SANWARIA,61860.265625
EXCEL,61102.876042606295
AJRINFRA,61006.135416666664
VISESHINFO,59340.217528432055
SPENTEX,59038.16512271405
ANTGRAPHIC,57993.93565924562
EXCEL,57799.75109182669
SUPREMEENG,55460.03299836004
